Period,Alcohol Type,Alcohol Sub Type,Alcohol Content,Clearance Origin,Value,Measure Type,Unit,Marker
government-year/2020-2021,wine,All,over 5.5% abv,Ex-ship,3900599.84,clearances,hectolitres,
government-year/2020-2021,wine,All,over 5.5% abv,Ex-warehouse,9958902.0,clearances,hectolitres,
government-year/2020-2021,wine,All,over 5.5% abv,UK Origin,15563.71,clearances,hectolitres,
government-year/2020-2021,wine,All,All,All,13875065.56,clearances,hectolitres,
government-year/2020-2021,wine,All,All,All,4658.55,wine-duty-receipts,gbp-million,
government-year/2020-2021,wine,All,All,All,12105.88,alcohol-duty-receipts,gbp-million,
year/2000,wine,Still,up to 15% abv,All,8880946.35,clearances,hectolitres,
year/2000,wine,Sparkling,up to 15% abv,All,533187.03,clearances,hectolitres,
year/2000,wine,All,over 15% abv,All,283625.04,clearances,hectolitres,
year/2000,wine,All,over 5.5% abv,Ex-ship,2129137.65,clearances,hectolitres,
year/2000,wine,All,over 5.5% abv,Ex-warehouse,7558572.72,clearances,hectolitres,
year/2000,wine,All,over 5.5% abv,UK Origin,10048.04,clearances,hectolitres,
year/2000,wine,All,All,All,9697758.41,clearances,hectolitres,
year/2000,wine,All,All,All,1776.0,wine-duty-receipts,gbp-million,
year/2000,wine,All,All,All,6594.0,alcohol-duty-receipts,gbp-million,
year/2001,wine,Still,up to 15% abv,All,9538893.77,clearances,hectolitres,
year/2001,wine,Sparkling,up to 15% abv,All,510477.69,clearances,hectolitres,
year/2001,wine,All,over 15% abv,All,284198.22,clearances,hectolitres,
year/2001,wine,All,over 5.5% abv,Ex-ship,2398489.92,clearances,hectolitres,
year/2001,wine,All,over 5.5% abv,Ex-warehouse,7924542.32,clearances,hectolitres,
year/2001,wine,All,over 5.5% abv,UK Origin,10537.44,clearances,hectolitres,
year/2001,wine,All,All,All,10333569.68,clearances,hectolitres,
year/2001,wine,All,All,All,1954.0,wine-duty-receipts,gbp-million,
year/2001,wine,All,All,All,6896.0,alcohol-duty-receipts,gbp-million,
